COTE D'IVOIRE,Cote d'Ivoire,Кот-д’Ивуар,Elfenbeinküste,Côte d'Ivoire
CROATIA,Croatia,Хорватия,Kroatien,Croatie
CUBA,Cuba,Куба,Kuba,Cuba
CURACAO,Curacao,Кюрасао,Curaçao,Curaçao
CYPRUS,Cyprus,Кипр,Zypern,Chypre
CZECH REPUBLIC,Czech Republic,Чехия,Tschechien,République tchèque
DR CONGO,DR Congo,ДР Конго,DR Kongo,RD Congo
DENMARK,Denmark,Дания,Dänemark,Danemark
DJIBOUTI,Djibouti,Джибути,Dschibuti,Djibouti
DOMINICA,Dominica,Доминика,Dominica,Dominique
DOMINICAN REPUBLIC,Dominican Republic,Доминиканская Республика,Dominikanische Republik,République dominicaine
EAST TIMOR,East Timor,Восточный Тимор,Osttimor,Timor oriental
ECUADOR,Ecuador,Эквадор,Ecuador,Équateur
EGYPT,Egypt,Египет,Ägypten,Égypte
EQUATORIAL GUINEA,Equatorial Guinea,Экваториальная Гвинея,Äquatorialguinea,Guinée équatoriale
ERITREA,Eritrea,Эритрея,Eritrea,Érythrée
ESTONIA,Estonia,Эстония,Estland,Estonie
ETHIOPIA,Ethiopia,Эфиопия,Äthiopien,Éthiopie
FAROE ISLANDS,Faroe Islands,Фарерские острова,Färöer-Inseln,Îles Féroé
FIJI,Fiji,Фиджи,Fidschi,Fidji
FINLAND,Finland,Финляндия,Finnland,Finlande
FRANCE,France,Франция,Frankreich,France
FRENCH GUIANA,French Guiana,Французская Гвиана,Französisch-Guayana,Guyane française
GABON,Gabon,Габон,Gabun,Gabon
GAMBIA,Gambia,Гамбия,Gambia,Gambie
GEORGIA,Georgia,Грузия,Georgien,Géorgie
GERMANY,Germany,Германия,Deutschland,Allemagne
GHANA,Ghana,Гана,Ghana,Ghana
GREECE,Greece,Греция,Griechenland,Grèce
GREENLAND,Greenland,Гренландия,Grönland,Groenland
GRENADA,Grenada,Гренада,Grenada,Grenade
GUADELOUPE,Guadeloupe,Гваделупа,Guadeloupe,Guadeloupe
GUATEMALA,Guatemala,Гватемала,Guatemala,Guatemala
GUINEA,Guinea,Гвинея,Guinea,Guinée
GUINEA-BISSAU,Guinea-Bissau,Гвинея-Бисау,Guinea-Bissau,Guinée-Bissau
GUYANA,Guyana,Гайана,Guyana,Guyana
HAITI,Haiti,Гаити,Haiti,Haïti
HONDURAS,Honduras,Гондурас,Honduras,Honduras
HUNGARY,Hungary,Венгрия,Ungarn,Hongrie
ICELAND,Iceland,Исландия,Island,Islande
INDIA,India,Индия,Indien,Inde
INDONESIA,Indonesia,Индонезия,Indonesien,Indonésie
IRAN,Iran,Иран,Iran,Iran
IRAQ,Iraq,Ирак,Irak,Irak
IRELAND,Ireland,Ирландия,Irland,Irlande
ISRAEL,Israel,Израиль,Israel,Israël
ITALY,Italy,Италия,Italien,Italie
JAMAICA,Jamaica,Ямайка,Jamaika,Jamaïque
JAPAN,Japan,Япония,Japan,Japon
JORDAN,Jordan,Иордания,Jordanien,Jordanie
KAZAKHSTAN,Kazakhstan,Казахстан,Kasachstan,Kazakhstan
KENYA,Kenya,Кения,Kenia,Kenya
KIRGIZISTAN,Kirgizistan,Киргизия,Kirgistan,Kirghizistan
KONGO,Kongo,Конго,Kongo,Congo
KOSOVO,Kosovo,Косово,Kosovo,Kosovo
KUWAIT,Kuwait,Кувейт,Kuwait,Koweït
LAOS,Laos,Лаос,Laos,Laos
LATVIA,Latvia,Латвия,Lettland,Lettonie
LESOTHO,Lesotho,Лесото,Lesotho,Lesotho
LIBAN,Liban,Ливан,Libanon,Liban
LIBERIA,Liberia,Либерия,Liberia,Libéria
LIBYA,Libya,Ливия,Libyen,Libye
LITHUANIA,Lithuania,Литва,Litauen,Lituanie
LUXEMBOURG,Luxembourg,Люксембург,Luxemburg,Luxembourg
MADAGASCAR,Madagascar,Мадагаскар,Madagaskar,Madagascar
MALAWI,Malawi,Малави,Malawi,Malawi
MALAYSIA,Malaysia,Малайзия,Malaysia,Malaisie
MALDIVES,Maldives,Мальдивы,Malediven,Maldives
MALI,Mali,Мали,Mali,Mali
MALTA,Malta,Мальта,Malta,Malte
MAROKASH,Marokash,Марокко,Marokko,Maroc
MARTINIQUE,Martinique,Мартиника,Martinique,Martinique
MAURITANIA,Mauritania,Мавритания,Mauretanien,Mauritanie
MEXICO,Mexico,Мексика,Mexiko,Mexique
MICRONESIA,Micronesia,Микронезия,Mikronesien,Micronésie
MOLDOVA,Moldova,Молдавия,Moldau,Moldavie
MONGOLIA,Mongolia,Монголия,Mongolei,Mongolie
MONTENEGRO,Montenegro,Черногория,Montenegro,Monténégro
MOZAMBIQUE,Mozambique,Мозамбик,Mosambik,Mozambique
MYANMAR,Myanmar,Мьянма,Myanmar,Myanmar
NAMIBIA,Namibia,Намибия,Namibia,Namibie
NEPAL,Nepal,Непал,Nepal,Népal
NETHERLANDS,Netherlands,Нидерланды,Niederlande,Pays-Bas
NEW ZEALAND,New Zealand,Новая Зеландия,Neuseeland,Nouvelle-Zélande
NICARAGUA,Nicaragua,Никарагуа,Nicaragua,Nicaragua
NIGER,Niger,Нигер,Niger,Niger
NIGERIA,Nigeria,Нигерия,Nigeria,Nigeria
NORTH KOREA,North Korea,Северная Корея,Nordkorea,Corée du Nord
NORTH MACEDONIA,North Macedonia,Северная Македония,Nordmazedonien,Macédoine du Nord
NORWAY,Norway,Норвегия,Norwegen,Norvège
OMAN,Oman,Оман,Oman,Oman
PAKISTAN,Pakistan,Пакистан,Pakistan,Pakistan
PALESTINE,Palestine,Палестина,Palästina,Palestine
PANAMA,Panama,Панама,Panama,Panama
PAPUA NEW GUINEA,Papua New Guinea,Папуа — Новая Гвинея,Papua-Neuguinea,Papouasie-Nouvelle-Guinée
PARAGUAY,Paraguay,Парагвай,Paraguay,Paraguay
PERU,Peru,Перу,Peru,Pérou
PHILIPPINES,Philippines,Филиппины,Philippinen,Philippines
POLAND,Poland,Польша,Polen,Pologne
PORTUGAL,Portugal,Португалия,Portugal,Portugal
PUERTO RICO,Puerto Rico,Пуэрто-Рико,Puerto Rico,Porto Rico
QATAR,Qatar,Катар,Katar,Qatar
REUNION,Reunion,Реюньон,Réunion,Réunion
ROMANIA,Romania,Румыния,Rumänien,Roumanie
RUSSIA,Russia,Россия,Russland,Russie
RWANDA,Rwanda,Руанда,Ruanda,Rwanda
SAINT KITTS AND NEVIS,Saint Kitts and Nevis,Сент-Китс и Невис,St. Kitts und Nevis,Saint-Christophe-et-Niévès
SAINT LUCIA,Saint Lucia,Сент-Люсия,St. Lucia,Sainte-Lucie
SAINT VINCENT AND THE GRENADINES,Saint Vincent and the Grenadines,Сент-Винсент и Гренадины,St. Vincent und die Grenadinen,Saint-Vincent-et-les-Grenadines
SALVADOR,Salvador,Сальвадор,El Salvador,Salvador
SAUDI ARABIA,Saudi Arabia,Саудовская Аравия,Saudi-Arabien,Arabie saoudite
SENEGAL,Senegal,Сенегал,Senegal,Sénégal
SERBIA,Serbia,Сербия,Serbien,Serbie
SEYCHELLES,Seychelles,Сейшельские Острова,Seychellen,Seychelles
SIERRA LEONE,Sierra Leone,Сьерра-Леоне,Sierra Leone,Sierra Leone
SLOVAKIA,Slovakia,Словакия,Slowakei,Slovaquie
SLOVENIA,Slovenia,Словения,Slowenien,Slovénie
SOLOMON ISLANDS,Solomon Islands,Соломоновы Острова,Salomonen,Îles Salomon
SOMALIA,Somalia,Сомали,Somalia,Somalie
SOUTH AFRICA,South Africa,ЮАР,Südafrika,Afrique du Sud
SOUTH KOREA,South Korea,Южная Корея,Südkorea,Corée du Sud
SOUTH SUDAN,South Sudan,Южный Судан,Südsudan,Soudan du Sud
SPAIN,Spain,Испания,Spanien,Espagne
SRI LANKA,Sri Lanka,Шри-Ланка,Sri Lanka,Sri Lanka
SUDAN,Sudan,Судан,Sudan,Soudan
SURINAME,Suriname,Суринам,Suriname,Suriname
SWAZILAND,Swaziland,Свазиленд,Swasiland,Eswatini
SWEDEN,Sweden,Швеция,Schweden,Suède
SWITZERLAND,Switzerland,Швейцария,Schweiz,Suisse
SYRIA,Syria,Сирия,Syrien,Syrie
TAIWAN,Taiwan,Тайвань,Taiwan,Taïwan
TAJIKISTAN,Tajikistan,Таджикистан,Tadschikistan,Tadjikistan
TANZANIA,Tanzania,Танзания,Tansania,Tanzanie
THAILAND,Thailand,Таиланд,Thailand,Thaïlande
TOGO,Togo,Того,Togo,Togo
TRINIDAD AND TOBAGO,Trinidad and Tobago,Тринидад и Тобаго,Trinidad und Tobago,Trinité-et-Tobago
TUNIS,Tunis,Тунис,Tunesien,Tunisie
TURKEY,Turkey,Турция,Türkei,Turquie
TURKMENISTAN,Turkmenistan,Туркменистан,Turkmenistan,Turkménistan
UAE,UAE,ОАЭ,VAE,ÉAU
UGANDA,Uganda,Уганда,Uganda,Ouganda
UKRAINE,Ukraine,Украина,Ukraine,Ukraine
UNITED KINGDOM,United Kingdom,Великобритания,Vereinigtes Königreich,Royaume-Uni
UNITED STATES,United States,Соединённые Штаты,Vereinigte Staaten,États-Unis
URUGUAY,Uruguay,Уругвай,Uruguay,Uruguay
UZBEKISTAN,Uzbekistan,Узбекистан,Usbekistan,Ouzbékistan
VENEZUELA,Venezuela,Венесуэла,Venezuela,Venezuela
VIETNAM,Vietnam,Вьетнам,Vietnam,Viêt Nam
YEMEN,Yemen,Йемен,Jemen,Yémen
ZAMBIA,Zambia,Замбия,Sambia,Zambie
ZIMBABWE,Zimbabwe,Зимбабве,Simbabwe,Zimbabwe
CHOOSE_COUNTRY,Choose Country,Выберите страну,Land auswählen,Choisir un pays
M,m,м,m,m
PROVINCES,Provinces,Провинций,Provinzen,Provinces
POPULATION,Population,Население,Bevölkerung,Population
GDP,GDP,ВВП,BIP,PIB
STABILITY,Stability,Стабильность,Stabilität,Stabilité
WAR_EXHAUSTION,War exhaustion, Военная усталось,Kriegsmüdigkeit,Lassitude de guerre
SANCTIONS,Sanctions,Санкции,Sanktionen,Sanctions
RELATIONS,Relations,Отношения,Beziehungen,Relations
IMPOSE,Impose,Улучшить,Verbessern,Améliorer
WORSEN,Worsen,Ухудшить,Verschlechtern,Détériorer
MAKE_PEACE,Make peace,Заключить мир,Frieden schließen,Faire la paix
DO_SANCTIONS,Sanctions,Наложить санкции,Sanktionen verhängen,Imposer des sanctions
DECLARE_WAR,Declare war,Объявить войну,Krieg erklären,Déclarer la guerre
CHOOSE_IDEOLOGY,Choose ideology,Выберите идеалогию,Ideologie wählen,Choisir une idéologie
CHANGE,Change,Сменить,Ändern,Changer
CLOSE,Close,Закрыть,Schließen,Fermer
IDEOLOGY,Ideology,Идеалогия,Ideologie,Idéologie
LIBERALISM,liberalism,либерализм,Liberalismus,libéralisme
PARLIAMENTARY_REPUBLIC,parliamentary_republic,парламентская республика,parlamentarische Republik,république parlementaire
MONARCHY,monarchy,монархия,Monarchie,monarchie
NEO_NAZISM,neo_nazism,неонацизм,Neonazismus,néonazisme
FASCISM,fascism,фашизм,Faschismus,fascisme
SOCIALISM,socialism,социализм,Sozialismus,socialisme
COMMUNISM,communism,коммунизм,Kommunismus,communisme
DICTATORSHIP,dictatorship,диктатура,Diktatur,dictature
ISLAMIC_REPUBLIC,islamic_republic,исламская республика,islamische Republik,république islamique
MILITARY_JUNTA,military_junta,военная хунта,Militärjunta,junte militaire
OLIGARCHY,oligarchy,олигархия,Oligarchie,oligarchie
CHANGE_IDEOLOGY,Change ideology,Сменить идеалогию,Ideologie ändern,Changer d'idéologie
FACTORIES,factoris,фабрик,Fabriken,usines
FACTORY_1,factory,фабрика,Fabrik,usine
FACTORY_2,factories,фабрики,Fabriken,usines
FACTORY_5,factories,фабрик,Fabriken,usines
RECRUIT_TROOPS,Recruit troops,Призвать войска,Truppen rekrutieren,Lever des troupes
BUILD_FACTORY,Build a factory,Построить фабрику,Eine Fabrik bauen,Construire une usine
TROOPS,Troops,Войска,Truppen,Troupes
COST,Cost,Цена,Kosten,Coût
CONFIRM,Confirm,Подтвердить,Bestätigen,Confirmer
AI_ARMY,AI Army,ИИ Армия,KI-Armee,Armée IA
SELL,sell,продать,verkaufen,vendre
SELL_ALL,sell all,продать всё,alles verkaufen,tout vendre
key,en,ru,de,fr
ARMY_NAME_FMT,%d Army of %s,%d-ая армия %s,%d. Armee von %s,%d Armée de %s
CTRY_Afghanistan,Afghanistan,Афганистана,Afghanistan,Afghanistan
CTRY_Albania,Albania,Албании,Albanien,Albanie
CTRY_Algeria,Algeria,Алжира,Algerien,Algérie
CTRY_American_Virgin_Islands,American Virgin Islands,Американских Виргинских островов,Amerikanische Jungferninseln,Îles Vierges américaines
CTRY_Angola,Angola,Анголы,Angola,Angola
CTRY_Anguilla,Anguilla,Ангильи,Anguilla,Anguilla
CTRY_Antigua_and_Barbuda,Antigua and Barbuda,Антигуа и Барбуды,Antigua und Barbuda,Antigua-et-Barbuda
CTRY_Argentina,Argentina,Аргентины,Argentinien,Argentine
CTRY_Armenia,Armenia,Армении,Armenien,Arménie
CTRY_Aruba,Aruba,Арубы,Aruba,Aruba
CTRY_Australia,Australia,Австралии,Australien,Australie
CTRY_Austria,Austria,Австрии,Österreich,Autriche
CTRY_Azerbaijan,Azerbaijan,Азербайджана,Aserbaidschan,Azerbaïdjan
CTRY_Bahamas,Bahamas,Багамских Островов,Bahamas,Bahamas
CTRY_Bangladesh,Bangladesh,Бангладеш,Bangladesch,Bangladesh
CTRY_Barbados,Barbados,Барбадоса,Barbados,Barbade
CTRY_Belarus,Belarus,Беларуси,Belarus,Biélorussie
CTRY_Belgium,Belgium,Бельгии,Belgien,Belgique
CTRY_Belice,Belice,Белиза,Belize,Belize
CTRY_Benin,Benin,Бенина,Benin,Bénin
CTRY_Bhutan,Bhutan,Бутана,Bhutan,Bhoutan
CTRY_Bolivia,Bolivia,Боливии,Bolivien,Bolivie
CTRY_Bonaire,Bonaire,Бонэйра,Bonaire,Bonaire
CTRY_Bosnia,Bosnia,Боснии,Bosnien,Bosnie
CTRY_Botswana,Botswana,Ботсваны,Botsuana,Botswana
CTRY_Brazil,Brazil,Бразилии,Brasilien,Brésil
CTRY_British_Virgin_Islands,British Virgin Islands,Британских Виргинских островов,Britische Jungferninseln,Îles Vierges britanniques
CTRY_Brunei,Brunei,Брунея,Brunei,Brunei
CTRY_Bulgaria,Bulgaria,Болгарии,Bulgarien,Bulgarie
CTRY_Burkina_Faso,Burkina Faso,Буркина-Фасо,Burkina Faso,Burkina Faso
CTRY_Burundi,Burundi,Бурунди,Burundi,Burundi
CTRY_Cambodia,Cambodia,Камбоджи,Kambodscha,Cambodge
CTRY_Cameroon,Cameroon,Камеруна,Kamerun,Cameroun
CTRY_Canada,Canada,Канады,Kanada,Canada
CTRY_Central_African_Republic,Central African Republic,Центральноафриканской Республики,Zentralafrikanische Republik,République centrafricaine
CTRY_Chad,Chad,Чада,Tschad,Tchad
CTRY_Chile,Chile,Чили,Chile,Chili
CTRY_China,China,Китая,China,Chine
CTRY_Columbia,Columbia,Колумбии,Kolumbien,Colombie
CTRY_Comoros,Comoros,Коморских Островов,Komoren,Comores
CTRY_Costa_Rica,Costa Rica,Коста-Рики,Costa Rica,Costa Rica
CTRY_Cote_dIvoire,Cote d'Ivoire,Кот-д’Ивуара,Elfenbeinküste,Côte d'Ivoire
CTRY_Croatia,Croatia,Хорватии,Kroatien,Croatie
CTRY_Cuba,Cuba,Кубы,Kuba,Cuba
CTRY_Curacao,Curacao,Кюрасао,Curaçao,Curaçao
CTRY_Cyprus,Cyprus,Кипра,Zypern,Chypre
CTRY_Czech_Republic,Czech Republic,Чехии,Tschechien,République tchèque
CTRY_DR_Congo,DR Congo,ДР Конго,DR Kongo,RD Congo
CTRY_Denmark,Denmark,Дании,Dänemark,Danemark
CTRY_Djibouti,Djibouti,Джибути,Dschibuti,Djibouti
CTRY_Dominica,Dominica,Доминики,Dominica,Dominique
CTRY_Dominican_Republic,Dominican Republic,Доминиканской Республики,Dominikanische Republik,République dominicaine
CTRY_East_Timor,East Timor,Восточного Тимора,Osttimor,Timor oriental
CTRY_Ecuador,Ecuador,Эквадора,Ecuador,Équateur
CTRY_Egypt,Egypt,Египта,Ägypten,Égypte
CTRY_Equatorial_Guinea,Equatorial Guinea,Экваториальной Гвинеи,Äquatorialguinea,Guinée équatoriale
CTRY_Eritrea,Eritrea,Эритреи,Eritrea,Érythrée
CTRY_Estonia,Estonia,Эстонии,Estland,Estonie
CTRY_Ethiopia,Ethiopia,Эфиопии,Äthiopien,Éthiopie
CTRY_Faroe_Islands,Faroe Islands,Фарерских Островов,Färöer-Inseln,Îles Féroé
CTRY_Fiji,Fiji,Фиджи,Fidschi,Fidji
CTRY_Finland,Finland,Финляндии,Finnland,Finlande
CTRY_France,France,Франции,Frankreich,France
CTRY_French_Guiana,French Guiana,Французской Гвианы,Französisch-Guayana,Guyane française
CTRY_Gabon,Gabon,Габона,Gabun,Gabon
CTRY_Gambia,Gambia,Гамбии,Gambia,Gambie
CTRY_Georgia,Georgia,Грузии,Georgien,Géorgie
CTRY_Germany,Germany,Германии,Deutschland,Allemagne
CTRY_Ghana,Ghana,Ганы,Ghana,Ghana
CTRY_Greece,Greece,Греции,Griechenland,Grèce
CTRY_Greenland,Greenland,Гренландии,Grönland,Groenland
CTRY_Grenada,Grenada,Гренады,Grenada,Grenade
CTRY_Guadeloupe,Guadeloupe,Гваделупы,Guadeloupe,Guadeloupe
CTRY_Guatemala,Guatemala,Гватемалы,Guatemala,Guatemala
CTRY_Guinea,Guinea,Гвинеи,Guinea,Guinée
CTRY_Guinea_Bissau,Guinea-Bissau,Гвинеи-Бисау,Guinea-Bissau,Guinée-Bissau
CTRY_Guyana,Guyana,Гайаны,Guyana,Guyana
CTRY_Haiti,Haiti,Гаити,Haiti,Haïti
CTRY_Honduras,Honduras,Гондураса,Honduras,Honduras
CTRY_Hungary,Hungary,Венгрии,Ungarn,Hongrie
CTRY_Iceland,Iceland,Исландии,Island,Islande
CTRY_India,India,Индии,Indien,Inde
CTRY_Indonesia,Indonesia,Индонезии,Indonesien,Indonésie
CTRY_Iran,Iran,Ирана,Iran,Iran
CTRY_Iraq,Iraq,Ирака,Irak,Irak
CTRY_Ireland,Ireland,Ирландии,Irland,Irlande
CTRY_Israel,Israel,Израиля,Israel,Israël
CTRY_Italy,Italy,Италии,Italien,Italie
CTRY_Jamaica,Jamaica,Ямайки,Jamaika,Jamaïque
CTRY_Japan,Japan,Японии,Japan,Japon
CTRY_Jordan,Jordan,Иордании,Jordanien,Jordanie
CTRY_Kazakhstan,Kazakhstan,Казахстана,Kasachstan,Kazakhstan
CTRY_Kenya,Kenya,Кении,Kenia,Kenya
CTRY_Kirgizistan,Kirgizistan,Киргизии,Kirgistan,Kirghizistan
CTRY_Kongo,Kongo,Конго,Kongo,Congo
CTRY_Kosovo,Kosovo,Косово,Kosovo,Kosovo
CTRY_Kuwait,Kuwait,Кувейта,Kuwait,Koweït
CTRY_Laos,Laos,Лаоса,Laos,Laos
CTRY_Latvia,Latvia,Латвии,Lettland,Lettonie
CTRY_Lesotho,Lesotho,Лесото,Lesotho,Lesotho
CTRY_Liban,Liban,Ливана,Libanon,Liban
CTRY_Liberia,Liberia,Либерии,Liberia,Libéria
CTRY_Libya,Libya,Ливии,Libyen,Libye
CTRY_Lithuania,Lithuania,Литвы,Litauen,Lituanie
CTRY_Luxembourg,Luxembourg,Люксембурга,Luxemburg,Luxembourg
CTRY_Madagascar,Madagascar,Мадагаскара,Madagaskar,Madagascar
CTRY_Malawi,Malawi,Малави,Malawi,Malawi
CTRY_Malaysia,Malaysia,Малайзии,Malaysia,Malaisie
CTRY_Maldives,Maldives,Мальдив,Malediven,Maldives
CTRY_Mali,Mali,Мали,Mali,Mali
CTRY_Malta,Malta,Мальты,Malta,Malte
CTRY_Marokash,Marokash,Марокко,Marokko,Maroc
CTRY_Martinique,Martinique,Мартиники,Martinique,Martinique
CTRY_Mauritania,Mauritania,Мавритании,Mauretanien,Mauritanie
CTRY_Mexico,Mexico,Мексики,Mexiko,Mexique
CTRY_Micronesia,Micronesia,Микронезии,Mikronesien,Micronésie
CTRY_Moldova,Moldova,Молдовы,Moldau,Moldavie
CTRY_Mongolia,Mongolia,Монголии,Mongolei,Mongolie
CTRY_Montenegro,Montenegro,Черногории,Montenegro,Monténégro
CTRY_Mozambique,Mozambique,Мозамбика,Mosambik,Mozambique
CTRY_Myanmar,Myanmar,Мьянмы,Myanmar,Myanmar
CTRY_Namibia,Namibia,Намибии,Namibia,Namibie
